,Year,Title,Genres,Length,Letterboxd Ratings,Directors
0,1994,Pulp Fiction,"['Crime', 'Thriller']",154,"{'0.5': '4,033\xa0half-★ ratings (0%)', '1': '10,355\xa0★ ratings (1%)', '1.5': '4,364\xa0★½ ratings (0%)', '2': '31,295\xa0★★ ratings (2%)', '2.5': '22,827\xa0★★½ ratings (1%)', '3': '151,738\xa0★★★ ratings (8%)', '3.5': '140,321\xa0★★★½ ratings (7%)', '4': '533,935\xa0★★★★ ratings (27%)', '4.5': '305,750\xa0★★★★½ ratings (16%)', '5': '761,032\xa0★★★★★ ratings (39%)'}","[['Quentin Tarantino', 'Gender\nMale', 'Birthday\nMarch 27, 1963 (60 years old)']]"
1,1994,Forrest Gump,"['Drama', 'Comedy', 'Romance']",142,"{'0.5': '4,734\xa0half-★ ratings (0%)', '1': '11,171\xa0★ ratings (1%)', '1.5': '5,987\xa0★½ ratings (0%)', '2': '33,496\xa0★★ ratings (2%)', '2.5': '27,829\xa0★★½ ratings (2%)', '3': '158,802\xa0★★★ ratings (10%)', '3.5': '149,723\xa0★★★½ ratings (9%)', '4': '473,006\xa0★★★★ ratings (29%)', '4.5': '216,088\xa0★★★★½ ratings (13%)', '5': '532,564\xa0★★★★★ ratings (33%)'}","[['Robert Zemeckis', 'Gender\nMale', 'Birthday\nMay 14, 1951 (72 years old)']]"
2,1994,The Shawshank Redemption,"['Crime', 'Drama']",142,"{'0.5': '931\xa0half-★ ratings (0%)', '1': '1,775\xa0★ ratings (0%)', '1.5': '1,225\xa0★½ ratings (0%)', '2': '6,524\xa0★★ ratings (1%)', '2.5': '6,543\xa0★★½ ratings (1%)', '3': '45,923\xa0★★★ ratings (4%)', '3.5': '59,626\xa0★★★½ ratings (5%)', '4': '252,511\xa0★★★★ ratings (21%)', '4.5': '213,913\xa0★★★★½ ratings (18%)', '5': '607,290\xa0★★★★★ ratings (51%)'}","[['Frank Darabont', 'Gender\nMale', 'Birthday\nJanuary 28, 1959 (65 years old)']]"
3,1994,The Lion King,"['Animation', 'Family', 'Drama']",89,"{'0.5': '1,330\xa0half-★ ratings (0%)', '1': '3,534\xa0★ ratings (0%)', '1.5': '2,212\xa0★½ ratings (0%)', '2': '14,490\xa0★★ ratings (1%)', '2.5': '14,306\xa0★★½ ratings (1%)', '3': '94,671\xa0★★★ ratings (10%)', '3.5': '93,878\xa0★★★½ ratings (10%)', '4': '290,503\xa0★★★★ ratings (30%)', '4.5': '129,165\xa0★★★★½ ratings (13%)', '5': '339,606\xa0★★★★★ ratings (35%)'}","[['Roger Allers', 'Gender\nMale', 'Birthday\nJune 29, 1949 (74 years old)'], ['Rob Minkoff', 'Gender\nMale', 'Birthday\nAugust 11, 1962 (61 years old)']]"
4,1994,Léon: The Professional,"['Crime', 'Action', 'Drama']",111,"{'0.5': '3,070\xa0half-★ ratings (0%)', '1': '4,674\xa0★ ratings (1%)', '1.5': '3,306\xa0★½ ratings (0%)', '2': '13,133\xa0★★ ratings (2%)', '2.5': '15,247\xa0★★½ ratings (2%)', '3': '65,237\xa0★★★ ratings (9%)', '3.5': '93,775\xa0★★★½ ratings (13%)', '4': '240,460\xa0★★★★ ratings (33%)', '4.5': '114,147\xa0★★★★½ ratings (16%)', '5': '165,412\xa0★★★★★ ratings (23%)'}","[['Luc Besson', 'Gender\nMale', 'Birthday\nMarch 18, 1959 (64 years old)']]"
5,1994,Chungking Express,"['Comedy', 'Drama', 'Romance']",103,"{'0.5': '391\xa0half-★ ratings (0%)', '1': '677\xa0★ ratings (0%)', '1.5': '669\xa0★½ ratings (0%)', '2': '3,268\xa0★★ ratings (1%)', '2.5': '4,743\xa0★★½ ratings (1%)', '3': '21,322\xa0★★★ ratings (6%)', '3.5': '36,786\xa0★★★½ ratings (10%)', '4': '103,370\xa0★★★★ ratings (28%)', '4.5': '76,143\xa0★★★★½ ratings (21%)', '5': '115,363\xa0★★★★★ ratings (32%)'}","[['Wong Kar-wai', 'Gender\nMale', 'Birthday\nJuly 17, 1958 (65 years old)']]"
6,1994,The Mask,"['Fantasy', 'Romance', 'Crime', 'Comedy']",101,"{'0.5': '2,535\xa0half-★ ratings (1%)', '1': '7,215\xa0★ ratings (2%)', '1.5': '6,123\xa0★½ ratings (2%)', '2': '28,099\xa0★★ ratings (7%)', '2.5': '32,603\xa0★★½ ratings (8%)', '3': '108,628\xa0★★★ ratings (28%)', '3.5': '78,191\xa0★★★½ ratings (20%)', '4': '78,724\xa0★★★★ ratings (20%)', '4.5': '14,824\xa0★★★★½ ratings (4%)', '5': '31,985\xa0★★★★★ ratings (8%)'}","[['Chuck Russell', 'Gender\nMale', 'Birthday\nMay 9, 1958 (65 years old)']]"
7,1994,Interview with the Vampire,"['Horror', 'Drama', 'Fantasy']",123,"{'0.5': '762\xa0half-★ ratings (0%)', '1': '2,302\xa0★ ratings (1%)', '1.5': '2,302\xa0★½ ratings (1%)', '2': '10,610\xa0★★ ratings (4%)', '2.5': '13,691\xa0★★½ ratings (6%)', '3': '48,595\xa0★★★ ratings (20%)', '3.5': '52,076\xa0★★★½ ratings (21%)', '4': '66,939\xa0★★★★ ratings (28%)', '4.5': '16,746\xa0★★★★½ ratings (7%)', '5': '29,313\xa0★★★★★ ratings (12%)'}","[['Neil Jordan', 'Gender\nMale', 'Birthday\nFebruary 25, 1950 (73 years old)']]"
8,1994,Speed,"['Adventure', 'Action', 'Crime']",116,"{'0.5': '311\xa0half-★ ratings (0%)', '1': '1,228\xa0★ ratings (1%)', '1.5': '1,318\xa0★½ ratings (1%)', '2': '7,096\xa0★★ ratings (3%)', '2.5': '10,888\xa0★★½ ratings (5%)', '3': '45,728\xa0★★★ ratings (20%)', '3.5': '54,316\xa0★★★½ ratings (24%)', '4': '69,516\xa0★★★★ ratings (30%)', '4.5': '18,444\xa0★★★★½ ratings (8%)', '5': '19,924\xa0★★★★★ ratings (9%)'}","[['Jan de Bont', 'Gender\nMale', 'Birthday\nOctober 22, 1943 (80 years old)']]"
9,1994,Natural Born Killers,"['Thriller', 'Drama', 'Crime']",118,"{'0.5': '1,464\xa0half-★ ratings (1%)', '1': '3,061\xa0★ ratings (2%)', '1.5': '2,721\xa0★½ ratings (2%)', '2': '9,360\xa0★★ ratings (5%)', '2.5': '10,275\xa0★★½ ratings (6%)', '3': '30,583\xa0★★★ ratings (18%)', '3.5': '34,951\xa0★★★½ ratings (20%)', '4': '46,402\xa0★★★★ ratings (27%)', '4.5': '15,312\xa0★★★★½ ratings (9%)', '5': '20,157\xa0★★★★★ ratings (12%)'}","[['Oliver Stone', 'Gender\nMale', 'Birthday\nSeptember 15, 1946 (77 years old)']]"
10,1994,Three Colours: Red,"['Mystery', 'Drama', 'Romance']",100,"{'0.5': '78\xa0half-★ ratings (0%)', '1': '226\xa0★ ratings (0%)', '1.5': '193\xa0★½ ratings (0%)', '2': '962\xa0★★ ratings (1%)', '2.5': '1,358\xa0★★½ ratings (1%)', '3': '7,021\xa0★★★ ratings (6%)', '3.5': '11,098\xa0★★★½ ratings (10%)', '4': '33,625\xa0★★★★ ratings (30%)', '4.5': '25,039\xa0★★★★½ ratings (22%)', '5': '31,799\xa0★★★★★ ratings (29%)'}","[['Krzysztof Kieślowski', 'Gender\nMale', 'Birthday\nJune 27, 1941']]"
11,1994,Dumb and Dumber,['Comedy'],107,"{'0.5': '3,019\xa0half-★ ratings (1%)', '1': '6,645\xa0★ ratings (3%)', '1.5': '5,214\xa0★½ ratings (2%)', '2': '19,180\xa0★★ ratings (8%)', '2.5': '19,510\xa0★★½ ratings (8%)', '3': '56,982\xa0★★★ ratings (24%)', '3.5': '44,233\xa0★★★½ ratings (18%)', '4': '49,738\xa0★★★★ ratings (21%)', '4.5': '12,736\xa0★★★★½ ratings (5%)', '5': '23,103\xa0★★★★★ ratings (10%)'}","[['Peter Farrelly', 'Gender\nMale', 'Birthday\nDecember 17, 1956 (67 years old)']]"
12,1994,Ace Ventura: Pet Detective,"['Comedy', 'Mystery']",86,"{'0.5': '2,830\xa0half-★ ratings (1%)', '1': '6,007\xa0★ ratings (3%)', '1.5': '5,399\xa0★½ ratings (3%)', '2': '18,405\xa0★★ ratings (9%)', '2.5': '21,002\xa0★★½ ratings (10%)', '3': '56,831\xa0★★★ ratings (28%)', '3.5': '38,682\xa0★★★½ ratings (19%)', '4': '35,745\xa0★★★★ ratings (17%)', '4.5': '7,044\xa0★★★★½ ratings (3%)', '5': '12,425\xa0★★★★★ ratings (6%)'}","[['Tom Shadyac', 'Gender\nMale', 'Birthday\nDecember 11, 1958 (65 years old)']]"
13,1994,Clerks,['Comedy'],92,"{'0.5': '446\xa0half-★ ratings (0%)', '1': '1,174\xa0★ ratings (1%)', '1.5': '977\xa0★½ ratings (1%)', '2': '4,462\xa0★★ ratings (3%)', '2.5': '5,453\xa0★★½ ratings (4%)', '3': '22,219\xa0★★★ ratings (16%)', '3.5': '28,698\xa0★★★½ ratings (20%)', '4': '45,180\xa0★★★★ ratings (32%)', '4.5': '14,685\xa0★★★★½ ratings (10%)', '5': '18,333\xa0★★★★★ ratings (13%)'}","[['Kevin Smith', 'Gender\nMale', 'Birthday\nAugust 2, 1970 (53 years old)']]"
14,1994,The Crow,"['Action', 'Thriller', 'Fantasy']",102,"{'0.5': '301\xa0half-★ ratings (0%)', '1': '838\xa0★ ratings (1%)', '1.5': '1,010\xa0★½ ratings (1%)', '2': '4,455\xa0★★ ratings (4%)', '2.5': '6,045\xa0★★½ ratings (5%)', '3': '20,402\xa0★★★ ratings (17%)', '3.5': '24,117\xa0★★★½ ratings (20%)', '4': '33,028\xa0★★★★ ratings (27%)', '4.5': '10,303\xa0★★★★½ ratings (9%)', '5': '20,415\xa0★★★★★ ratings (17%)'}","[['Alex Proyas', 'Gender\nMale', 'Birthday\nSeptember 23, 1963 (60 years old)']]"
15,1994,Ed Wood,"['Comedy', 'Drama', 'History']",127,"{'0.5': '142\xa0half-★ ratings (0%)', '1': '425\xa0★ ratings (0%)', '1.5': '395\xa0★½ ratings (0%)', '2': '1,933\xa0★★ ratings (2%)', '2.5': '2,491\xa0★★½ ratings (2%)', '3': '10,647\xa0★★★ ratings (10%)', '3.5': '16,040\xa0★★★½ ratings (15%)', '4': '35,273\xa0★★★★ ratings (34%)', '4.5': '17,420\xa0★★★★½ ratings (17%)', '5': '19,550\xa0★★★★★ ratings (19%)'}","[['Tim Burton', 'Gender\nMale', 'Birthday\nAugust 25, 1958 (65 years old)']]"
16,1994,In the Mouth of Madness,"['Horror', 'Thriller', 'Mystery']",95,"{'0.5': '159\xa0half-★ ratings (0%)', '1': '449\xa0★ ratings (0%)', '1.5': '545\xa0★½ ratings (1%)', '2': '2,564\xa0★★ ratings (3%)', '2.5': '4,323\xa0★★½ ratings (4%)', '3': '14,966\xa0★★★ ratings (15%)', '3.5': '22,642\xa0★★★½ ratings (22%)', '4': '33,187\xa0★★★★ ratings (33%)', '4.5': '12,065\xa0★★★★½ ratings (12%)', '5': '10,604\xa0★★★★★ ratings (10%)'}","[['John Carpenter', 'Gender\nMale', 'Birthday\nJanuary 16, 1948 (76 years old)']]"
17,1994,Four Weddings and a Funeral,"['Drama', 'Comedy', 'Romance']",117,"{'0.5': '503\xa0half-★ ratings (0%)', '1': '1,580\xa0★ ratings (1%)', '1.5': '1,725\xa0★½ ratings (1%)', '2': '7,231\xa0★★ ratings (6%)', '2.5': '10,192\xa0★★½ ratings (8%)', '3': '31,294\xa0★★★ ratings (25%)', '3.5': '28,614\xa0★★★½ ratings (23%)', '4': '28,504\xa0★★★★ ratings (23%)', '4.5': '6,263\xa0★★★★½ ratings (5%)', '5': '7,993\xa0★★★★★ ratings (6%)'}","[['Mike Newell', 'Gender\nMale', 'Birthday\nMarch 28, 1942 (81 years old)']]"
18,1994,Three Colours: White,"['Drama', 'Mystery', 'Comedy']",92,"{'0.5': '119\xa0half-★ ratings (0%)', '1': '330\xa0★ ratings (0%)', '1.5': '309\xa0★½ ratings (0%)', '2': '1,797\xa0★★ ratings (2%)', '2.5': '3,198\xa0★★½ ratings (4%)', '3': '14,470\xa0★★★ ratings (16%)', '3.5': '23,106\xa0★★★½ ratings (25%)', '4': '30,767\xa0★★★★ ratings (34%)', '4.5': '9,253\xa0★★★★½ ratings (10%)', '5': '7,921\xa0★★★★★ ratings (9%)'}","[['Krzysztof Kieślowski', 'Gender\nMale', 'Birthday\nJune 27, 1941']]"
