,Year,Title,Genres,Length,Letterboxd Ratings,Directors
0,2002,Spider-Man,"['Science Fiction', 'Action']",121,"{'0.5': '1,373\xa0half-★ ratings (0%)', '1': '5,344\xa0★ ratings (0%)', '1.5': '3,747\xa0★½ ratings (0%)', '2': '27,752\xa0★★ ratings (3%)', '2.5': '30,890\xa0★★½ ratings (3%)', '3': '190,347\xa0★★★ ratings (17%)', '3.5': '209,172\xa0★★★½ ratings (19%)', '4': '380,455\xa0★★★★ ratings (34%)', '4.5': '94,804\xa0★★★★½ ratings (9%)', '5': '161,028\xa0★★★★★ ratings (15%)'}","[['Sam Raimi', 'Gender\nMale', 'Birthday\nOctober 23, 1959 (64 years old)']]"
1,2002,Catch Me If You Can,"['Drama', 'Crime']",141,"{'0.5': '523\xa0half-★ ratings (0%)', '1': '1,870\xa0★ ratings (0%)', '1.5': '1,544\xa0★½ ratings (0%)', '2': '11,044\xa0★★ ratings (1%)', '2.5': '14,873\xa0★★½ ratings (1%)', '3': '101,536\xa0★★★ ratings (10%)', '3.5': '154,436\xa0★★★½ ratings (15%)', '4': '389,692\xa0★★★★ ratings (39%)', '4.5': '153,197\xa0★★★★½ ratings (15%)', '5': '176,688\xa0★★★★★ ratings (18%)'}","[['Steven Spielberg', 'Gender\nMale', 'Birthday\nDecember 18, 1946 (77 years old)']]"
2,2002,The Lord of the Rings: The Two Towers,"['Fantasy', 'Adventure', 'Action']",179,"{'0.5': '1,413\xa0half-★ ratings (0%)', '1': '3,871\xa0★ ratings (0%)', '1.5': '1,611\xa0★½ ratings (0%)', '2': '11,356\xa0★★ ratings (1%)', '2.5': '9,782\xa0★★½ ratings (1%)', '3': '61,651\xa0★★★ ratings (6%)', '3.5': '66,237\xa0★★★½ ratings (7%)', '4': '236,979\xa0★★★★ ratings (24%)', '4.5': '167,266\xa0★★★★½ ratings (17%)', '5': '409,067\xa0★★★★★ ratings (42%)'}","[['Peter Jackson', 'Gender\nMale', 'Birthday\nOctober 31, 1961 (62 years old)']]"
3,2002,Harry Potter and the Chamber of Secrets,"['Fantasy', 'Adventure']",161,"{'0.5': '2,551\xa0half-★ ratings (0%)', '1': '7,737\xa0★ ratings (1%)', '1.5': '6,463\xa0★½ ratings (1%)', '2': '41,793\xa0★★ ratings (4%)', '2.5': '51,976\xa0★★½ ratings (5%)', '3': '223,671\xa0★★★ ratings (23%)', '3.5': '191,848\xa0★★★½ ratings (19%)', '4': '253,234\xa0★★★★ ratings (26%)', '4.5': '53,582\xa0★★★★½ ratings (5%)', '5': '153,905\xa0★★★★★ ratings (16%)'}","[['Chris Columbus', 'Gender\nMale', 'Birthday\nSeptember 10, 1958 (65 years old)']]"
4,2002,Star Wars: Episode II – Attack of the Clones,"['Action', 'Science Fiction', 'Adventure']",142,"{'0.5': '19,096\xa0half-★ ratings (2%)', '1': '48,377\xa0★ ratings (6%)', '1.5': '43,691\xa0★½ ratings (6%)', '2': '120,074\xa0★★ ratings (16%)', '2.5': '101,355\xa0★★½ ratings (13%)', '3': '181,353\xa0★★★ ratings (24%)', '3.5': '94,124\xa0★★★½ ratings (12%)', '4': '92,056\xa0★★★★ ratings (12%)', '4.5': '18,795\xa0★★★★½ ratings (2%)', '5': '47,304\xa0★★★★★ ratings (6%)'}","[['George Lucas', 'Gender\nMale', 'Birthday\nMay 14, 1944 (79 years old)']]"
5,2002,The Pianist,"['Drama', 'War']",150,"{'0.5': '539\xa0half-★ ratings (0%)', '1': '855\xa0★ ratings (0%)', '1.5': '564\xa0★½ ratings (0%)', '2': '3,427\xa0★★ ratings (1%)', '2.5': '4,152\xa0★★½ ratings (1%)', '3': '25,658\xa0★★★ ratings (5%)', '3.5': '41,981\xa0★★★½ ratings (8%)', '4': '158,556\xa0★★★★ ratings (30%)', '4.5': '112,725\xa0★★★★½ ratings (22%)', '5': '171,744\xa0★★★★★ ratings (33%)'}","[['Roman Polanski', 'Gender\nMale', 'Birthday\nAugust 18, 1933 (90 years old)']]"
6,2002,City of God,"['Drama', 'Crime']",130,"{'0.5': '361\xa0half-★ ratings (0%)', '1': '676\xa0★ ratings (0%)', '1.5': '520\xa0★½ ratings (0%)', '2': '2,533\xa0★★ ratings (1%)', '2.5': '2,780\xa0★★½ ratings (1%)', '3': '15,428\xa0★★★ ratings (3%)', '3.5': '25,008\xa0★★★½ ratings (5%)', '4': '101,711\xa0★★★★ ratings (22%)', '4.5': '94,559\xa0★★★★½ ratings (20%)', '5': '221,172\xa0★★★★★ ratings (48%)'}","[['Fernando Meirelles', 'Gender\nMale', 'Birthday\nNovember 9, 1955 (68 years old)']]"
7,2002,Punch-Drunk Love,"['Drama', 'Romance', 'Comedy']",96,"{'0.5': '997\xa0half-★ ratings (0%)', '1': '2,515\xa0★ ratings (1%)', '1.5': '1,771\xa0★½ ratings (1%)', '2': '8,056\xa0★★ ratings (2%)', '2.5': '9,248\xa0★★½ ratings (3%)', '3': '35,510\xa0★★★ ratings (11%)', '3.5': '52,793\xa0★★★½ ratings (16%)', '4': '107,493\xa0★★★★ ratings (32%)', '4.5': '55,735\xa0★★★★½ ratings (17%)', '5': '61,075\xa0★★★★★ ratings (18%)'}","[['Paul Thomas Anderson', 'Gender\nMale', 'Birthday\nJune 26, 1970 (53 years old)']]"
8,2002,Ice Age,"['Comedy', 'Adventure', 'Family', 'Animation']",81,"{'0.5': '1,384\xa0half-★ ratings (0%)', '1': '4,842\xa0★ ratings (1%)', '1.5': '4,433\xa0★½ ratings (1%)', '2': '25,793\xa0★★ ratings (5%)', '2.5': '31,321\xa0★★½ ratings (6%)', '3': '125,845\xa0★★★ ratings (25%)', '3.5': '101,690\xa0★★★½ ratings (20%)', '4': '124,220\xa0★★★★ ratings (25%)', '4.5': '21,837\xa0★★★★½ ratings (4%)', '5': '55,549\xa0★★★★★ ratings (11%)'}","[['Chris Wedge', 'Gender\nMale', 'Birthday\nMarch 20, 1957 (66 years old)']]"
9,2002,Lilo & Stitch,"['Animation', 'Family']",85,"{'0.5': '488\xa0half-★ ratings (0%)', '1': '1,866\xa0★ ratings (0%)', '1.5': '1,453\xa0★½ ratings (0%)', '2': '9,310\xa0★★ ratings (2%)', '2.5': '11,332\xa0★★½ ratings (3%)', '3': '59,899\xa0★★★ ratings (14%)', '3.5': '64,393\xa0★★★½ ratings (15%)', '4': '133,125\xa0★★★★ ratings (31%)', '4.5': '45,242\xa0★★★★½ ratings (10%)', '5': '106,220\xa0★★★★★ ratings (25%)'}","[['Chris Sanders', 'Gender\nMale', 'Birthday\nMarch 12, 1962 (61 years old)'], ['Dean DeBlois', 'Gender\nMale', 'Birthday\nJune 7, 1970 (53 years old)']]"
